City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Mufulira,ZM,-12.5498,28.2407,56.64,60,16,8.28,few clouds
289,Namibe,AO,-15.1961,12.1522,62.89,81,0,2.57,clear sky
290,Marzuq,YE,14.4,46.4667,78.62,39,100,9.57,overcast clouds
291,Sampit,ID,-2.5333,112.95,72.63,95,90,2.42,overcast clouds
292,Saskylakh,RU,71.9167,114.0833,50.88,73,100,6.04,overcast clouds
293,Hithadhoo,MV,-0.6,73.0833,81.97,77,61,6.22,broken clouds
294,Rio Grande,BR,-32.035,-52.0986,59.11,92,97,14.7,overcast clouds
295,Pisco,PE,-13.7,-76.2167,61.02,88,0,18.41,clear sky
296,Teguise,ES,29.0605,-13.564,75.42,65,0,20.71,clear sky
297,Fortuna,US,40.5982,-124.1573,72.93,70,0,5.01,clear sky
298,Sola,VU,-13.8833,167.55,80.31,80,35,18.28,scattered clouds
299,Sibu,MY,2.3,111.8167,73.42,93,100,1.81,overcast clouds
300,Chiredzi,ZW,-21.05,31.6667,57.11,65,0,3.18,clear sky
301,Okhotsk,RU,59.3833,143.3,65.64,65,82,5.88,broken clouds
302,Almaznyy,RU,48.0448,40.045,68.97,46,51,7.99,broken clouds
303,Nanakuli,US,21.3906,-158.1547,85.95,59,75,10.36,broken clouds
304,Idah,NG,7.1065,6.7342,71.76,98,100,2.93,overcast clouds
305,Ajtos,BG,42.7,27.25,72.82,54,99,15.7,overcast clouds
306,Khani,GE,41.9563,42.9566,60.37,77,5,6.15,clear sky
307,Jand,PK,33.4299,72.0193,86.52,62,88,1.01,overcast clouds
308,Venado Tuerto,AR,-33.7456,-61.9688,59.77,82,0,7.65,clear sky
309,Kaseda,JP,31.4167,130.3167,77.74,80,5,2.66,clear sky
310,Balkanabat,TM,39.5108,54.3671,84.9,22,0,12.55,clear sky
311,Ilulissat,GL,69.2167,-51.1,50.02,71,96,3.44,overcast clouds
312,Senneterre,CA,48.3835,-77.2328,68.9,47,7,6.44,clear sky
313,Renqiu,CN,38.6989,116.0936,73.08,84,100,7.58,overcast clouds
314,Shizilu,CN,35.1711,118.8289,78.57,85,95,5.5,moderate rain
315,Nara,JP,34.6851,135.8049,78.49,77,66,2.51,broken clouds
316,Lincoln,US,40.8,-96.667,88.9,60,0,6.91,clear sky
317,Klaksvik,FO,62.2266,-6.589,52.72,98,100,8.68,overcast clouds
318,Maniitsoq,GL,65.4167,-52.9,40.53,90,100,9.28,overcast clouds
319,Bagaha,IN,27.1,84.0833,82.13,76,49,7.14,scattered clouds
320,Atikokan,CA,48.7555,-91.6216,81.84,30,55,8.23,broken clouds
321,Atbasar,KZ,51.8,68.3333,60.71,79,42,8.81,scattered clouds
322,Hualmay,PE,-11.0964,-77.6139,63.41,81,21,11.12,few clouds
323,Vicuna,CL,-30.0319,-70.7081,55.78,68,79,5.44,broken clouds
324,Payo,ID,-3.7508,103.6372,69.31,96,54,2.42,broken clouds
325,Nago,JP,26.5881,127.9761,86.45,87,100,10.49,overcast clouds
326,Poya,NC,-21.35,165.15,80.13,68,55,9.75,broken clouds
327,Ribeira Grande,PT,38.5167,-28.7,67.5,79,57,11.83,broken clouds
328,Kalianget,ID,-7.05,113.9333,77.79,76,56,7.56,broken clouds
329,Kijang,KR,35.2442,129.2139,82.13,79,34,5.68,scattered clouds
330,Pochutla,MX,15.7432,-96.4661,91.22,71,36,6.31,scattered clouds
331,Bereda,ES,43.2686,-7.5406,61.14,100,4,2.42,clear sky
332,San Patricio,US,28.017,-97.5169,100.18,43,44,17.09,scattered clouds
333,Dudinka,RU,69.4058,86.1778,45.63,82,100,14.83,overcast clouds
334,Vanimo,PG,-2.6741,141.3028,77.49,88,100,4.7,overcast clouds
335,Port Lincoln,AU,-34.7333,135.8667,48.99,75,60,14.05,broken clouds
336,Coihaique,CL,-45.5752,-72.0662,35.55,93,100,0.0,mist
337,Raudeberg,NO,61.9875,5.1352,48.87,83,97,11.65,overcast clouds
338,Komsomolskiy,UZ,40.4272,71.7189,74.12,40,65,9.22,broken clouds
339,Benicarlo,ES,40.4165,0.4271,75.9,65,0,9.71,clear sky
340,Tambovka,RU,50.0969,128.0489,67.37,67,62,14.83,broken clouds
341,Amapa,BR,1.0,-52.0,71.47,98,93,2.15,overcast clouds
342,Coahuayana,MX,18.7333,-103.6833,88.05,62,99,5.73,overcast clouds
343,Sur,OM,22.5667,59.5289,83.48,81,99,6.73,overcast clouds
344,Kamen-Rybolov,RU,44.7481,132.0403,67.15,91,68,9.04,broken clouds
345,The Valley,AI,18.217,-63.0578,82.54,78,40,13.8,scattered clouds
346,Praia,CV,14.9215,-23.5087,75.74,78,20,13.8,few clouds
347,Suez,EG,29.9737,32.5263,75.25,68,4,6.08,clear sky
